ID,requirement ID,dimension ID,assessment type,expected datatype,name,description,measuring,rationale,requirements,procedure,validation,relevance,examples
1,1,1,singleCollectionAssessment,boolean,Missing collection title,A collection (version) should have a title such that humans can refer to it and easier remember it.,It is measured if a collection misses a title,"A title is needed for humans to refer to the collection, see metric-related requirement",Collections should use the title property which is validated by the shape related to this metric,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If no title property is found, this metric is true","This metric applies on social media collections (versions), however all resources profit from having a human readable title",A social media collection (or more general a resource) which misses a dc:title property 
2,1,1,collectionAssessment,integer,Number of missing titles,Determine the number of collections missing a dublin core title.,It is measured how many collections miss a title,For quality assessment it is important to identify collections without title,Collections should use the title property which is validated by the shape related to this metric,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections without title,"This metric applies on social media collections (versions), however all resources profit from having a human readable title",A corpus of social media collections (or more general resources) for which one or more miss a dc:title property
3,1,1,singleCollectionAssessment,boolean,Missing collection description,A collection (version) should have a description in natural language such that humans can assess the content.,It is measured if a collection misses a description,"A description is needed for humans to assess the collection, see metric-related requirement",Collections should use the description property which is validated by the shape related to this metric,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If no description property is found, this metric is true","This metric applies on social media collections (versions), however all resources profit from having a human readable description",A social media collection (or more general a resource) which misses a dc:description property
4,1,1,collectionAssessment,integer,Number of missing descriptions,Determine the number of collections missing a dublin core description.,It is measured how many collections miss a description,For quality assessment it is important to identify collections without description,Collections should use the description property which is validated by the shape related to this metric,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections without description,"This metric applies on social media collections (versions), however all resources profit from having a human readable description",A corpus of social media collections (or more general resources) which all one or more miss a dc:description property
5,2,1,singleCollectionAssessment,boolean,Insufficient collection description,A collection (version) should have a description of at least 200 characters to avoid short meaningless phrases.,It is measured if a collection has a description with insufficient length,A description is often more useful with sufficient length as otherwise the description is less descriptive,Collections should use the description property which is validated by the shape related to this metric,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a description with less than 200 characters is found, this metric is true","This metric applies on social media collections (versions), however all resources profit from having a human readable description",A social media collection (or more general a resource) which has a dc:description property with a length smaller than 200
6,2,1,collectionAssessment,integer,Number of insufficient descriptions,Determine the number of collections with a description which is too short to be considered meaningful.,It is measured how many collections have an insufficient length,For quality assessment it is important to identify collections with insufficient descriptions,Collections should use the description property which is validated by the shape related to this metric,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with insufficient length,"This metric applies on social media collections (versions), however all resources profit from having a human readable description",A corpus of social media collections (or more general resources) for which one or more have a dc:description property with a  length smaller than 200
7,3,2,singleCollectionAssessment,boolean,Missing collection posts per month,The number of social media posts per month should be indicated for a collection.,It is measured if a collection misses stats about its posts per month,"Statistics of posts per month provide a brief overview, see metric-related requirement","Aggregated information about posts per month of a collection should be available, e.g. as data cube observations",The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain the number of posts for valid months and years, this metric is true",This metric applies on social media collections (versions),"A social media collection referred via a dimension from a data cube observation, together with a dimension for year and month and an observed number of posts. Either less than two such observations exist or the observations year, month or observed number have invalid datatypes."
8,3,2,collectionAssessment,integer,Number of collections with incomplete monthly temporal coverage,"Determine the number of collection (versions) with incomplete temporal coverage, i.e. posts not indicated per month.",It is measured how many collections miss stats about their posts per month,For quality assessment it is important to identify collections with missing posts per month stats,"Aggregated information about posts per month of a collection should be available, e.g. as data cube observations",The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with incorrect or missing posts per month information,This metric applies on social media collections (versions),A corpus of social media collections for which one or more miss data cube observations or have invalid observations about posts per month
9,4,2,singleCollectionAssessment,boolean,Missing collection content start and end date,A collection (version) shows date of the first and date of the last content item,It is measured if a collection misses stats about the date of its first post and the date of its last post,The date of the first and the date of the last post provide information about the scope of the collection,A collection needs to link to its posts and posts need a creation date,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about the date of its first or the date of its last post, this metric is true",This metric applies on social media collections (versions),"A social media collection referred via a dimension from a data cube observation, together with an observed date of the first post and another observation with an observed date of the last post. Either one of the observations is missing or has an invalid date"
10,4,2,collectionAssessment,integer,Number of missing start and end dates content,Determine the number of collection (versions) not showing content start and end date,It is measured how many collections miss stats about the date of their first post and the date of their last post,For quality assessment it is important to identify collections with missing info about the dates of the first and last post,A collection needs to link to its posts and posts need a creation date,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing first and last post date,This metric applies on social media collections (versions),A corpus of social media collections for which one or more miss data cube observations or have invalid observations about the dates of the first and last post
11,5,3,singleCollectionAssessment,boolean,Missing collection harvest start and end date,A collection (version) shows date of the first and date of the last harvest,It is measured if a collection misses stats about the date of its first harvest and the date of its last harvest,The date of the first and the date of the last harvest provide provenance of the collections’ creation,A collection needs to link to its harvests and the harvests need a creation date,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about the dates of its first and last harvest, this metric is true",This metric applies on social media collections (versions),"A social media collection referred via a dimension from a data cube observation, together with an observed date of the first harvest and another observation with an observed date of the last harvest. Either one of the observations is missing or has an invalid date"
